"Category","Job Role","Pay / Rate","Benefits","Conditions / Requirements"
"Mining Operations","Open Cut Production Operator (Coal/Metals)","64–70 AUD/hr","FIFO or DIDO, flights or travel allowance, camp accommodation and meals, 7/7 or 2:1 type rosters, super on all hours, overtime and penalties, access to gym and recreation facilities, potential bonuses and temp‑to‑perm options","12+ months open‑cut mining experience, proven haul‑truck or production‑equipment operation, Standard 11 or equivalent where required, current driver’s licence, ability to pass pre‑employment medical and drug/alcohol screening, strong safety focus, unrestricted Australian work rights commonly required"
"Mining Operations","Underground Jumbo Operator","105,000–115,000 AUD/year","FIFO or DIDO, 2:2 or similar rosters, flights, camp accommodation and meals, allowances for underground work, bonuses, salary packaging options, career progression into leading hand/supervisor roles","Extensive underground production drilling experience, competency on jumbo rigs, underground tickets and site inductions, strong safety record, ability to work in confined and hot conditions, pre‑employment medical and drug/alcohol testing, valid driver’s licence"
"Mobile Plant Operations","Dump Truck / Haul Truck Operator (FIFO)","55–65 AUD/hr","FIFO or DIDO, flights from major hubs, camp accommodation and meals, 7/7, 2:1 or 8:6 rosters, super on all hours, overtime and production bonuses, access to village facilities, training on larger trucks","6–12+ months recent truck‑operating experience, Standard 11 or mining induction where required, VOCs for relevant trucks, current driver’s licence, ability to work 12‑hour shifts, pre‑employment medical and drug/alcohol screen, safety focus"
"Mobile Plant Operations","Excavator / Loader / Grader Operator (All‑Rounder)","60–75 AUD/hr","FIFO ex capital cities or DIDO, 2:1 or similar rosters, camp accommodation and meals, super on all hours, overtime and penalties, potential bonuses, opportunities to operate multiple machines, progression into leading hand roles","Demonstrated experience on excavators, loaders, dozers or graders, relevant VOCs or tickets, HR driver’s licence often preferred, proven safety record, ability to pass medical and drug/alcohol screen"
"Drilling & Blasting","Driller’s Offsider","120,000–150,000 AUD/year","FIFO or DIDO, 2:1–4:2 rosters, accommodation and meals, structured on‑the‑job training toward driller roles, bonuses or incentives in some roles, PPE and uniforms provided","High physical fitness, ability to perform heavy manual labour in remote conditions, HR licence or willingness to obtain, ability to work 12‑hour shifts including nights, pre‑employment medical and drug/alcohol screen, no specific trade qualification required"
"Drilling & Blasting","Blast Hole Driller","60–65 AUD/hr","FIFO ex major hubs, 2:1 rosters, camp accommodation and meals, super on all hours, weekly pay, production bonuses in some contracts, high earning potential with night shift and overtime","Experience on production drill rigs, strong safety record, current driver’s licence, ability to work day and night shifts in remote locations, blast or shotfirer qualifications highly regarded, pre‑employment medical and drug/alcohol testing"
"Drilling & Blasting","Shotfirer / Charge‑Up Operator","160,000–200,000 AUD/year","FIFO rosters such as 8:6 or 2:1, flights and camp accommodation, explosives‑handling allowances, overtime and penalty rates, bonuses in some operations, progression into blast supervisor roles","Current shotfiring ticket, Dangerous Goods Security Card, C‑class or higher driver’s licence, underground or open‑cut blasting experience, police clearance, medical and drug/alcohol clearance, strong safety focus"
"Processing / Fixed Plant / Plant Operations","Process Technician / Fixed Plant Operator","50–65 AUD/hr","FIFO or residential, 3:2, 2:2 or 2:1 rosters, camp or local accommodation, super on all hours, shift loadings and overtime, training on crushers, mills and conveyors, progression to control‑room roles","Experience operating mineral‑processing or fixed‑plant equipment, familiarity with isolations and lock‑out procedures, forklift ticket often required, willingness to work day and night shifts, pre‑employment medical and drug/alcohol testing"
"Processing / Fixed Plant / Plant Operations","Control Room Operator (Processing)","110,000–125,000 AUD/year","FIFO or residential, day/night shift rosters, camp accommodation and meals for FIFO, responsibility for plant performance, potential annual bonuses linked to production, staff benefits such as super and leave","Several years fixed‑plant experience, strong process‑control knowledge, experience with DCS or SCADA systems, troubleshooting skills, ability to work shifts, pre‑employment medical and drug/alcohol testing"
"Shutdowns / Maintenance","Boilermaker / Welder (Shutdown)","60–74 AUD/hr","FIFO shutdown rosters such as 2:1 or project blocks, flights and camp accommodation, night‑shift penalties, project and site allowances, overtime, PPE and sometimes tools supplied, opportunities for ongoing shutdown work","Australian fabrication trade qualification, welding tickets to required codes, previous mining or heavy‑industry shutdown experience, White Card, Working at Heights and Confined Space often required, pre‑employment medical and drug/alcohol screen"
"Shutdowns / Maintenance","Mechanical Fitter / Rigger (Shutdown Maintenance)","55–65 AUD/hr","Short FIFO shutdown rosters, flights and camp accommodation, EBA rates with overtime, project uplifts and site allowances, high earning potential in peak shutdown periods, PPE provided","Mechanical trade qualification and/or Intermediate or Advanced rigging or scaffolding licences, mining shutdown experience, Working at Heights and Confined Space, strong safety focus, pre‑employment medical and drug/alcohol screen"
"Mechanical Trades","Heavy Diesel Fitter / Mobile Plant Mechanic","150,000–180,000 AUD/year","FIFO or DIDO, flights from major hubs, camp accommodation and meals, 8:6, 2:1 or 7:7 rosters, super on all hours, overtime and call‑out, tool and PPE provision, OEM training, progression into leading‑hand roles","Australian trade certificate in heavy diesel or mobile plant, experience on mining or heavy civil equipment, HR licence advantageous, diagnostics and OEM system experience, medical and drug/alcohol clearance"
"Mechanical Trades","Maintenance Fitter (Fixed Plant)","50–60 AUD/hr","FIFO or residential, camp or town accommodation, shift allowances, super, overtime, work on crushers, conveyors and mills, training and progression into maintenance planning or supervision","Mechanical fitter trade qualification, fixed‑plant or heavy‑industry maintenance experience, familiarity with maintenance systems and isolations, ability to interpret technical drawings, pre‑employment medical and drug/alcohol testing"
"Electrical / Instrumentation","Mine Site Electrician (FIFO)","56–88 AUD/hr","FIFO or DIDO, flights, camp accommodation and meals, 2:1 or even‑time rosters, night‑shift and overtime penalties, super, PPE and tooling, exposure to large mining plant","State electrical licence, electrical trade qualification, experience in mining or heavy industry, Working at Heights, Confined Space and EWP or Forklift high‑risk licences often required, First Aid or CPR or LVR, medical and drug/alcohol screening"
"Electrical / Instrumentation","HV Electrician","150,000–180,000 AUD/year","FIFO from major cities, camp accommodation and meals, allowances for HV work, overtime and call‑out, salary‑sacrifice options, strong demand in iron‑ore and energy projects","Electrical trade plus HV switching or operations training, mining or heavy‑industry experience, strong safety record, medical and drug/alcohol clearance, relevant site inductions"
"Electrical / Instrumentation","Instrumentation Technician / E&I Electrician","140,000–170,000 AUD/year","FIFO rosters, flights and camp accommodation, responsibility for process instrumentation and control systems, training on OEM and PLC systems, allowances and salary packaging, exposure to complex processing plants","Electrical trade plus instrumentation qualifications, experience commissioning and maintaining process instruments, PLC or DCS skills, electrical licence and required high‑risk tickets, medical and drug/alcohol screening"
"Construction & Civil","Civil Plant Operator (Earthworks)","58–75 AUD/hr","FIFO to remote civil projects, flights and camp accommodation and meals, 2:1 or 3:1 rosters, super on all hours, overtime and penalties, long‑term projects, training on multiple machines","Civil mobile‑plant experience (grader, excavator, loader, trucks), HR licence often required, previous civil or mining project experience, White Card, Working at Heights or Confined Space where needed, medical and drug/alcohol testing"
"Construction & Civil","Concrete Batch Operator (Remote Project)","50–60 AUD/hr","FIFO rosters, flights and camp accommodation, responsibility for batching concrete for site infrastructure, overtime and penalties, PPE and training provided","HR licence, loader experience, prior batching or concrete‑plant experience, willingness to assist with on‑ground tasks, pre‑employment medical and drug/alcohol screen"
"Oil & Gas / Energy / Power","Offshore Maintenance Technician (Mechanical/E&I)","140,000–200,000 AUD/year","Offshore rotations such as 2:2 or 3:3, flights from coastal hubs, offshore accommodation and meals, offshore allowances, overtime and shift loadings, strong safety culture, long‑term contracts in oil and gas or offshore energy","Mechanical or electrical trade, offshore safety training where required, heavy‑industry experience, strong HSE focus, ability to work in remote offshore environments, medical and drug/alcohol screening"
"HSE / Safety / Quality","HSE Advisor (Mining / Construction FIFO)","90–120 AUD/hr","FIFO 2:1 or similar rosters, flights and camp accommodation and meals, site allowances, vehicle use in some roles, bonuses, professional‑development budgets, strong job security","Degree or diploma in WHS, safety or environment, Certificate IV in WHS commonly minimum, several years HSE experience in mining or construction, investigation training, strong knowledge of legislation and systems, driver’s licence, medical and drug/alcohol clearance"
"HSE / Safety / Quality","HSE Superintendent / Manager","170,000–220,000 AUD/year","Staff roles, flights and camp for FIFO, generous super, bonuses, responsibility for site HSE strategy and leadership, long‑term career positions, insurances and other benefits","Significant HSE leadership experience, degree‑level qualifications, audit and incident‑investigation training, experience on large mining or construction projects, ability to lead teams and work with regulators, medical and drug/alcohol screening"
"Engineering / Technical","Mining Engineer (FIFO)","100,000–120,000 AUD/year (graduate); 150,000–180,000 AUD/year (experienced)","FIFO rosters such as 8:6 or 2:1, flights and camp accommodation, salary plus super and FIFO allowances, bonuses, professional development, progression into senior engineer and superintendent roles","Bachelor of Mining Engineering or similar, mine‑planning and design skills, experience with mine‑planning software, site experience via graduate or vacation programs, medical and drug/alcohol clearance"
"Engineering / Technical","Project Engineer / Project Manager (Resources)","130,000–200,000 AUD/year","FIFO or hybrid arrangements, flights and camp for site‑based roles, responsibility for delivering mine, plant or infrastructure projects, bonuses linked to project performance, vehicle or travel benefits, staff benefits","Engineering degree (civil, mechanical, electrical or mining), project‑delivery experience, familiarity with contracting and EPCM, strong commercial and stakeholder skills, remote‑site experience preferred, medical and drug/alcohol screening"
"Engineering / Technical","Maintenance Planner (Mining)","114,000–130,000 AUD/year","FIFO or residential, flights and camp for FIFO roles, involvement in maintenance planning for mobile or fixed plant, standard staff benefits, potential annual incentives, career pathway into reliability and maintenance leadership","Trade or engineering background, experience using CMMS systems, understanding of mining equipment and maintenance practices, ability to coordinate with maintenance and operations teams, driver’s licence, medical and drug/alcohol screening"
"Geology / Exploration","Exploration / Mine Geologist (FIFO)","95,000–150,000 AUD/year","FIFO to exploration camps or mine sites, flights and camp accommodation, 8:6 or 2:1 rosters, mix of field and office work, vehicle use for fieldwork, training budgets, progression to senior geologist roles","Degree in geology or geoscience, experience in exploration or mine geology, familiarity with drilling, sampling and logging, willingness to work in remote field conditions, driver’s licence, medical and drug/alcohol screening"
"Geology / Exploration","Field Assistant / Geotechnician","141,688 AUD/year (average)","FIFO or DIDO, flights and camp accommodation, 2:1 or similar rosters, work supporting drilling and sampling programs, PPE and uniforms provided, training on sampling and geotechnical procedures, progression into geology or drilling roles","Physical fitness, ability to work long days outdoors, driver’s licence (HR sometimes preferred), attention to detail for sampling, previous field or labouring experience advantageous, medical and drug/alcohol screening"
"Laboratory / Sampling","Laboratory Technician / Sample Preparer","48 AUD/hr","FIFO lab or residential rosters, accommodation and meals for FIFO, work in assay and sample‑prep labs, PPE, training in lab procedures, opportunity to progress to senior technician or supervisor roles","Certificate in laboratory techniques desirable, experience in sample preparation or analytical labs, attention to detail, ability to work shifts, medical and drug/alcohol screening"
"Transport / Logistics / Heavy Haulage","MC Driver (Waste / Fuel / Road Train – FIFO)","58 AUD/hr","FIFO from major hubs, 12/9 or 2:1 rosters, day shift in some roles, camp accommodation and meals, competitive flat rates, super, potential bonuses, temp‑to‑perm pathways","MC licence, proven road‑train or heavy‑haul experience, clean driving record, relevant waste or dangerous‑goods licences where required, police clearance, medical and drug/alcohol screening"
"Transport / Logistics / Heavy Haulage","Bus / Coach Driver (Mine Site Shuttle)","43–45 AUD/hr","FIFO, mainly day shifts in some roles, camp accommodation and meals, transport of personnel around site, super, uniforms and PPE, potential for longer‑term assignments","LR or HR bus licence, previous bus or coach driving experience, safe driving record, customer‑service skills, medical and drug/alcohol screening, police clearance where required"
"Warehousing / Stores / Supply","Storeperson / Warehouse Officer (Mine Site)","53 AUD/hr (casual, 8:6 roster)","FIFO or DIDO, flights and camp accommodation, 2:1, 2:2 or 8:6 rosters, overtime opportunities, super, employee discounts, exposure to site logistics, potential permanent roles","Warehousing experience, forklift licence, basic computer or ERP skills, ability to handle freight in remote environments, physical capacity for manual handling, medical and drug/alcohol screening"
"Warehousing / Stores / Supply","Materials Coordinator / Inventory Controller","Not specified","FIFO or residential, responsibility for inventory accuracy and coordination, flights and camp for FIFO, standard staff benefits, pathways into supply‑chain supervision or contracts roles","Strong warehousing or logistics background, advanced ERP and inventory skills, understanding of mining spares and consumables, ability to liaise with maintenance and procurement, medical and drug/alcohol screening"
"Camp / Village / Utilities","Village / Camp Manager","115,000–120,000 AUD/year","FIFO to remote villages, 8:6 or similar rosters, flights and camp accommodation, responsibility for village operations including accommodation, catering, housekeeping and utilities, bonuses or incentives in some roles, staff benefits","Several years remote‑village or hotel supervisory or management experience, exposure to catering, housekeeping and maintenance coordination, strong people‑leadership skills, ability to live on site during swings, medical and drug/alcohol screening"
"Camp / Village / Utilities","Village Utility / Grounds / Maintenance","84,541 AUD/year base salary","FIFO rosters, flights and camp accommodation and meals, access to gym, pool and recreation, varied duties across grounds, basic maintenance and utilities, PPE and uniforms provided, training opportunities","Basic maintenance or trade‑assistant background, ability to perform manual outdoor work, driver’s licence, safety focus, medical and drug/alcohol screening"
"Catering / Hospitality / Housekeeping","Chef / Cook (Camp Catering)","90,000–110,000 AUD/year (or 36–50 AUD/hr)","FIFO or DIDO, flights and camp accommodation, all meals provided, 2:1 or similar rosters, bulk catering for large camps, super, uniforms and PPE, staff discounts, progression to head chef or camp‑manager roles","Certificate III in Commercial Cookery or equivalent, bulk or remote‑catering experience preferred, ability to work long shifts, food‑safety and hygiene compliance, medical and drug/alcohol screening, police clearance sometimes required"
"Catering / Hospitality / Housekeeping","Hospitality Utility / Mine Site Cleaner","435–440 AUD/day plus super","Flights, uniforms, food and accommodation provided, 2:1 or similar rosters, access to camp gyms, pools and social activities, weekly pay, training and upskilling, stable demand in camps","No formal qualification required, hospitality, cleaning or labouring experience valued, ability to perform physically demanding work, good customer‑service and safety focus, medical and drug/alcohol screening"
"Catering / Hospitality / Housekeeping","Hospitality All‑Rounder / Bar Attendant","380.26 AUD/day plus super","FIFO village roles combining bar, dining room and customer‑service tasks, flights and camp accommodation and meals, access to village facilities, structured rosters, training and progression into supervisory hospitality roles","RSA and other hospitality compliance certificates, bar or front‑of‑house experience, strong customer‑service skills, ability to live on site and work shifts, medical and drug/alcohol screening"
"Medical / Emergency Response","Site Paramedic / Remote Medic","120,000–130,000 AUD/year (or 60–75 AUD/hr)","FIFO rosters such as 7:7 or 12:9, flights, accommodation and meals, base pay plus overtime and shift allowances, work as part of site emergency response, strong job security in mining regions","Registered paramedic qualification, substantial emergency‑response experience, remote or mining experience desirable, ability to work autonomously, high fitness, medical and drug/alcohol screening, police clearance often required"
"Medical / Emergency Response","Emergency Services Officer (ESO/MESO)","110,000–140,000 AUD/year","FIFO or residential, rosters such as 8:6 or 7:7, flights and camp accommodation for FIFO, responsibility for emergency response, fire, rescue and medical support, training budgets, strong safety culture, long‑term career paths","Emergency‑response qualifications (paramedic, fire or rescue), experience in mining or emergency services, ability to coordinate training and readiness, strong communication, medical and drug/alcohol screening"
"Medical / Emergency Response","Occupational Health / Mine Site Nurse","65–70 AUD/hr","FIFO rosters such as 8:6 or 7:7, flights and camp accommodation, staff benefits and annual incentives, clinic‑style work plus emergency response, stable salaried employment with major miners, professional development","Registered nurse with occupational‑health or emergency background, current registration, mining or remote experience desirable, ability to provide 24/7 support via roster, medical and drug/alcohol screening"
"Administration / Site Administration / Payroll / Document Control","Site Administrator (FIFO)","74,700–81,700 AUD/year","FIFO rosters such as 14:7 or 2:1, fully paid flights, meals and accommodation, involvement in rosters, mobilisation and document management, super, staff benefits, potential permanent roles","Strong administration background, high‑volume office experience, MS Office and site‑systems skills, ability to work 10–12‑hour days on roster, strong communication, medical and drug/alcohol screening"
"Administration / Site Administration / Payroll / Document Control","Accommodation Administrator","48–51 AUD/hr","FIFO from hubs such as Perth, rosters such as 4:3, 8:3 or 2:1, flights and camp accommodation, responsibility for bookings, check‑ins and flight management, super, staff benefits, fixed‑term or ongoing contracts","Administration and customer‑service skills, experience with accommodation systems, attention to detail, ability to work in remote camps, medical and drug/alcohol screening"
"Administration / Site Administration / Payroll / Document Control","Document Controller / Payroll Officer (Site‑based)","Not specified","FIFO or residential, flights and camp for FIFO, business‑hours or extended‑day shifts, corporate benefits and sometimes bonuses, exposure to site‑wide operations, progression into senior admin or HR roles","Payroll or document‑control experience, high attention to detail, familiarity with ERP or time‑and‑attendance systems, ability to work independently on site, medical and drug/alcohol screening"
"HR / Recruitment / Training","HR / Recruitment Advisor (Site‑based)","95,000 AUD/year (average)","FIFO or residential, flights and camp for FIFO, end‑to‑end recruitment and HR support for site, corporate benefits, exposure to operations and leadership teams","HR or related degree, experience in recruitment and HR generalist work, knowledge of Australian employment law, ability to work on remote sites, strong stakeholder‑management skills, medical and drug/alcohol screening"
"HR / Recruitment / Training","Training Coordinator / Site Trainer","110,000 AUD/year (typical)","FIFO or residential, flights and camp for site‑based roles, design and delivery of training, management of competency and compliance systems, staff benefits, progression into HSE or HR leadership","Training and facilitation background, Certificate IV in Training and Assessment or similar, mining or construction experience, ability to manage training records and compliance, medical and drug/alcohol screening"
"IT / Communications","Site IT Support Technician","Not specified","FIFO 8:6 or 7:7 or residential, flights and camp for FIFO, support for site systems and networks, super and staff benefits, training and exposure to OT and industrial networks","Several years IT support experience, relevant IT qualifications, experience with industrial or plant environments desirable, strong troubleshooting and customer‑service skills, medical and drug/alcohol screening"
"IT / Communications","Communications / Radio Technician","Not specified","FIFO or residential, responsibility for site communications infrastructure such as radios and networks, flights and camp for FIFO, super and staff benefits, training and progression into broader OT or technology roles","Qualifications in electronics or communications, experience with radio systems and industrial communications, strong safety focus and capacity for fieldwork, medical and drug/alcohol screening"
"Security","Mine Site Security Officer (FIFO)","49 AUD/hr (up to ~110,000 AUD/year)","FIFO 7:7 or 2:1 rosters, flights and camp accommodation, responsibility for camp and site security, patrols and access control, uniform provided, penalties and overtime, staff benefits","Security licence, prior security, defence or policing experience preferred, driver’s licence, ability to work 12‑hour shifts, strong communication, medical and drug/alcohol screening"
"Supervisory / Leadership / Management","Production / Mining Supervisor","160,000–190,000 AUD/year","Staff packages with flights and camp for FIFO, responsibility for production teams and safety, bonuses linked to performance, progression to superintendent or manager roles, super and additional benefits","Extensive operational experience, proven leadership in mining operations, strong safety and people‑management skills, relevant tickets or qualifications, medical and drug/alcohol screening"
"Supervisory / Leadership / Management","Maintenance Supervisor (Mobile / Fixed Plant)","160,000–200,000 AUD/year","Staff roles with flights and camp for FIFO, responsibility for maintenance teams and planning, bonuses, development opportunities into maintenance and asset‑management leadership, staff benefits","Trade or engineering background, substantial maintenance experience, leadership and planning skills, strong reliability focus, medical and drug/alcohol screening"
"Supervisory / Leadership / Management","Mine / Operations Manager","220,000–300,000 AUD/year","Executive‑level packages, flights and high‑standard accommodation for FIFO where applicable, significant bonuses and long‑term incentives, responsibility for entire operations, comprehensive benefits and insurances","Extensive mining‑leadership experience, formal mining, engineering or business qualifications, proven success managing large operations, high‑level safety and financial responsibility, full Australian work rights"
